,x,y,S-S22
166,2500.0,1000.0,-0.0974763
167,2500.0,900.0,-0.0998267
168,2500.0,800.0,-0.102172
169,2500.0,700.0,-0.104495
170,2500.0,600.0,-0.106805
171,2500.0,500.0,-0.10912
172,2500.0,400.0,-0.111432
173,2500.0,300.0,-0.113745
174,2500.0,200.0,-0.116071
175,2500.0,100.0,-0.118415
176,2500.0,-100.0,-0.123146
177,2500.0,-200.0,-0.12557
178,2500.0,-300.0,-0.128005
179,2500.0,-400.0,-0.130449
180,2500.0,-500.0,-0.132885
181,2500.0,-600.0,-0.13532
182,2500.0,-700.0,-0.137761
183,2500.0,-800.0,-0.140185
184,2500.0,-900.0,-0.142587
185,2500.0,-1000.0,-0.144983
186,2500.0,-1100.0,-0.147359
187,2500.0,-1200.0,-0.149697
188,2500.0,-1300.0,-0.152011
189,2500.0,-1400.0,-0.154313
190,2500.0,-1500.0,-0.156588
191,2500.0,-1600.0,-0.158832
192,2500.0,-1700.0,-0.161061
193,2500.0,-1800.0,-0.163272
194,2500.0,-1900.0,-0.165464
195,2500.0,-2000.0,-0.167644
196,2500.0,-2100.0,-0.169811
197,2500.0,-2200.0,-0.171959
198,2500.0,-2300.0,-0.174104
199,2500.0,-2400.0,-0.17626
200,-2500.0,2500.0,-0.061266
201,-2500.0,0.0,-0.121636
202,-2500.0,-2500.0,-0.177351
203,0.0,2500.0,-0.0530387
204,0.0,-2500.0,-0.158694
205,2500.0,2500.0,-0.061267
206,2500.0,-2500.0,-0.177332
207,2500.0,0.0,-0.121633
208,0.0,0.0,
209,-353.553,353.553,-0.0874595
210,-500.0,0.0,-0.247203
211,-353.553,-353.553,-0.093222
212,0.0,500.0,-0.00236368
213,0.0,-500.0,-0.00252468
214,353.553,353.553,-0.0870656
215,353.553,-353.553,-0.0975576
216,500.0,0.0,-0.246857
217,-2500.0,100.0,-0.119317
218,-2500.0,200.0,-0.116903
219,-2500.0,300.0,-0.114599
220,-2500.0,400.0,-0.112122
221,-2500.0,500.0,-0.109809
222,-2500.0,600.0,-0.107567
223,-2500.0,700.0,-0.105217
224,-2500.0,800.0,-0.102825
225,-2500.0,900.0,-0.10053
226,-2500.0,1000.0,-0.098105
227,-2500.0,1100.0,-0.0954539
228,-2500.0,1200.0,-0.0929378
229,-2500.0,1300.0,-0.0906066
230,-2500.0,1400.0,-0.0880933
231,-2500.0,1500.0,-0.0853786
232,-2500.0,1600.0,-0.082838
233,-2500.0,1700.0,-0.0804873
234,-2500.0,1800.0,-0.0779877
235,-2500.0,1900.0,-0.0754645
236,-2500.0,2000.0,-0.0730774
237,-2500.0,2100.0,-0.0705562
238,-2500.0,2200.0,-0.0680127
239,-2500.0,2300.0,-0.0653788
240,-2500.0,2400.0,-0.0628998
241,-2500.0,-2400.0,-0.175963
242,-2500.0,-2300.0,-0.173658
243,-2500.0,-2200.0,-0.171347
244,-2500.0,-2100.0,-0.169151
245,-2500.0,-2000.0,-0.167051
246,-2500.0,-1900.0,-0.164934
247,-2500.0,-1800.0,-0.162762
248,-2500.0,-1700.0,-0.160573
249,-2500.0,-1600.0,-0.158384
250,-2500.0,-1500.0,-0.15611
251,-2500.0,-1400.0,-0.153764
252,-2500.0,-1300.0,-0.151606
253,-2500.0,-1200.0,-0.149514
254,-2500.0,-1100.0,-0.147288
255,-2500.0,-1000.0,-0.144902
256,-2500.0,-900.0,-0.142607
257,-2500.0,-800.0,-0.1404
258,-2500.0,-700.0,-0.138053
259,-2500.0,-600.0,-0.135701
260,-2500.0,-500.0,-0.13352
261,-2500.0,-400.0,-0.13118
262,-2500.0,-300.0,-0.128742
263,-2500.0,-200.0,-0.126319
264,-2500.0,-100.0,-0.123706
265,-2400.0,2500.0,-0.0610392
266,-2300.0,2500.0,-0.0613583
267,-2200.0,2500.0,-0.0613701
268,-2100.0,2500.0,-0.061054
269,-2000.0,2500.0,-0.0608611
270,-1900.0,2500.0,-0.0605776
271,-1800.0,2500.0,-0.0604736
272,-1700.0,2500.0,-0.0602076
273,-1600.0,2500.0,-0.0599731
274,-1500.0,2500.0,-0.059845
275,-1400.0,2500.0,-0.0594485
276,-1300.0,2500.0,-0.0588222
277,-1200.0,2500.0,-0.0583508
278,-1100.0,2500.0,-0.0580133
279,-1000.0,2500.0,-0.0574322
280,-900.0,2500.0,-0.0566981
281,-800.0,2500.0,-0.0561644
282,-700.0,2500.0,-0.0556697
283,-600.0,2500.0,-0.0549774
284,-500.0,2500.0,-0.0544947
285,-400.0,2500.0,-0.054189
286,-300.0,2500.0,-0.0538677
287,-200.0,2500.0,-0.0534436
288,-100.0,2500.0,-0.0534813
289,-100.0,-2500.0,-0.158347
290,-200.0,-2500.0,-0.158739
291,-300.0,-2500.0,-0.159705
292,-400.0,-2500.0,-0.160492
293,-500.0,-2500.0,-0.161592
294,-600.0,-2500.0,-0.16266
295,-700.0,-2500.0,-0.163664
296,-800.0,-2500.0,-0.164811
297,-900.0,-2500.0,-0.165955
298,-1000.0,-2500.0,-0.166955
299,-1100.0,-2500.0,-0.168159
300,-1200.0,-2500.0,-0.169484
301,-1300.0,-2500.0,-0.170527
302,-1400.0,-2500.0,-0.171332
303,-1500.0,-2500.0,-0.172267
304,-1600.0,-2500.0,-0.173003
305,-1700.0,-2500.0,-0.173716
306,-1800.0,-2500.0,-0.174545
307,-1900.0,-2500.0,-0.175152
308,-2000.0,-2500.0,-0.175654
309,-2100.0,-2500.0,-0.175919
310,-2200.0,-2500.0,-0.17609
311,-2300.0,-2500.0,-0.17647
312,-2400.0,-2500.0,-0.177121
313,100.0,2500.0,-0.053544
314,200.0,2500.0,-0.0535615
315,300.0,2500.0,-0.0537633
316,400.0,2500.0,-0.0541784
317,500.0,2500.0,-0.0544588
318,600.0,2500.0,-0.0549666
319,700.0,2500.0,-0.0556753
320,800.0,2500.0,-0.0561678
321,900.0,2500.0,-0.0567268
322,1000.0,2500.0,-0.0574776
323,1100.0,2500.0,-0.0580347
324,1200.0,2500.0,-0.058348
325,1300.0,2500.0,-0.0588085
326,1400.0,2500.0,-0.0594184
327,1500.0,2500.0,-0.0597954
328,1600.0,2500.0,-0.0603739
329,1700.0,2500.0,-0.0606304
330,1800.0,2500.0,-0.0605435
331,1900.0,2500.0,-0.060642
